ticker,ritter_ticker,name,first_trade,yf_first_trade,year,offer_price,adr,ritter_shares,edgar_shares,yf_shares,est_edgar,est_yf,est_ritter,mcap_listing_b,mcap_src,mcap_conf,match_method,bucket,reason
MTDR,MTDR,Matador Resources Co,2012-02-01,2012-02-02,2012,12.0,1.0,,55507543.0,85558000.0,0.666090516,1.026696,,0.846393258,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
DYN,DYN,Dyne Therapeutics Inc,2020-09-17,2020-09-17,2020,19.0,1.0,,45445115.0,43585200.0,0.863457185,0.8281188,,0.8457879925,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
INN,INN,Summit Hotel Properties Inc,2011-02-08,2011-02-09,2011,9.75,1.0,,27278000.0,86730000.0,0.2659605,0.8456175,,0.8456175,single:yf,low,ticker+date,drop,~$0.8B at listing (well below $5B)
GLUE,GLUE,Monte Rosa Therapeutics Inc,2021-06-24,2021-06-24,2021,19.0,1.0,,46381919.0,42540200.0,0.881256461,0.8082638,,0.8447601305,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
GPMT,GPMT,Granite Point Mtg Tr Inc,2017-06-23,2017-06-26,2017,19.5,1.0,,43234205.0,43234200.0,0.8430669975,0.8430669,,0.84306694875,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
CNOB,CNOB,ConnectOne Bancorp Inc,2013-02-11,1994-04-04,2013,28.0,1.0,,16348915.0,30085000.0,0.45776962,0.84238,,0.84238,single:yf,low,ticker+date,drop,ticker reused by another company (yfinance first trade 1994-04-04 != IPO 2013-02-11)
HG,HG,"Hamilton Insurance Group, Ltd.",2023-11-10,2023-11-10,2023,15.0,1.0,,56036067.0,56036100.0,0.840541005,0.8405415,,0.8405412525,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
AVO,AVO,Mission Produce Inc,2020-10-01,2020-10-02,2020,12.0,1.0,,70550922.0,69350896.0,0.846611064,0.832210752,,0.8394109080000001,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
COCO,COCO,"The Vita Coco Company, Inc.",2021-10-21,2021-10-21,2021,15.0,1.0,,55514780.0,55496100.0,0.8327217,0.8324415,,0.8325815999999999,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
SITE,SITE,SiteOne Landscape Supply Inc,2016-05-12,2016-05-12,2016,21.0,1.0,,39542239.0,39542200.0,0.830387019,0.8303862,,0.8303866095,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
AHR,AHR,"American Healthcare REIT, Inc.",2024-02-07,2024-02-07,2024,12.0,1.0,,65372222.0,72638400.0,0.784466664,0.8716608,,0.8280637319999999,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
PAYC,PAYC,Paycom Software Inc,2014-04-15,2014-04-15,2014,15.0,1.0,,51041157.0,59103300.0,0.765617355,0.8865495,,0.8260834275,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
BEAM,BEAM,Beam Therapeutics Inc,2020-02-06,2020-02-06,2020,17.0,1.0,,51485115.0,45324800.0,0.875246955,0.7705216,,0.8228842775,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
HUBS,HUBS,HubSpot Inc,2014-10-09,2014-10-09,2014,25.0,1.0,,31390213.0,34097000.0,0.784755325,0.852425,,0.8185901625,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
PRLD,PRLD,Prelude Therapeutics Inc,2020-09-25,2020-09-25,2020,19.0,1.0,,43703381.0,42454600.0,0.830364239,0.8066374,,0.8185008195,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
NNOX,NNOX,Nano-X Imaging Ltd,2020-08-21,2020-08-21,2020,18.0,1.0,,46100173.0,44393900.0,0.829803114,0.7990902,,0.814446657,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
GHRS,GHRS,GH Research PLC,2021-06-25,2021-06-25,2021,16.0,1.0,,52020849.0,48854200.0,0.832333584,0.7816672,,0.807000392,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
SEPN,SEPN,"Septerna, Inc.",2024-10-25,nan,2024,18.0,1.0,,44402742.0,,0.799249356,,,0.799249356,single:edgar,low,ticker+date,drop,~$0.8B at listing (well below $5B)
GWRE,GWRE,Guidewire Software Inc,2012-01-24,2012-01-25,2012,13.0,1.0,,51275725.0,71492000.0,0.666584425,0.929396,,0.7979902125,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
CCCC,CCCC,C4 Therapeutics Inc,2020-10-02,2020-10-02,2020,19.0,1.0,,43029500.0,40769200.0,0.8175605,0.7746148,,0.79608765,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
APGE,APGE,"Apogee Therapeutics, Inc.",2023-07-14,2023-07-14,2023,17.0,1.0,,48017621.0,45556500.0,0.816299557,0.7744605,,0.7953800285,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
DTIL,DTIL,Precision Biosciences Inc,2019-03-28,2019-03-28,2019,16.0,1.0,,50361705.0,49030300.0,0.80578728,0.7844848,,0.79513604,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
XNET,XNET,Xunlei Ltd,2014-06-24,2014-06-24,2014,12.0,2.0,291148000.0,328693840.0,66044500.0,,0.792534,,0.792534,single:yf,low,ticker+date,drop,~$0.8B at listing (well below $5B)
PMVP,PMVP,PMV Pharmaceuticals Inc,2020-09-25,2020-09-25,2020,18.0,1.0,,44773748.0,42999300.0,0.805927464,0.7739874,,0.789957432,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
HQY,HQY,HealthEquity Inc,2014-07-31,2014-07-31,2014,14.0,1.0,,54726740.0,57626800.0,0.76617436,0.8067752,,0.78647478,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
PCVX,PCVX,Vaxcyte Inc,2020-06-12,2020-06-12,2020,16.0,1.0,,50923883.0,46757800.0,0.814782128,0.7481248,,0.781453464,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
REXR,REXR,Rexford Industrial Realty Inc,2013-07-18,2013-07-19,2013,14.0,1.0,,25681790.0,55586600.0,0.35954506,0.7782124,,0.7782124,single:yf,low,ticker+date,drop,~$0.8B at listing (well below $5B)
ELF,ELF,e l f Beauty Inc,2016-09-22,2016-09-22,2016,17.0,1.0,,45257137.0,45257100.0,0.769371329,0.7693707,,0.7693710145,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
TMCI,TMCI,Treace Medical Concepts Inc,2021-04-23,2021-04-23,2021,17.0,1.0,,39904375.0,50462800.0,0.678374375,0.8578676,,0.7681209874999999,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
EWTX,EWTX,Edgewise Therapeutics Inc,2021-03-26,2021-03-26,2021,16.0,1.0,,49254311.0,46567000.0,0.788068976,0.745072,,0.7665704879999999,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
CLDT,CLDT,Chatham Lodging Trust,2010-04-15,2010-04-16,2010,20.0,1.0,,,38136600.0,,0.762732,,0.762732,single:yf,low,ticker+date,drop,~$0.8B at listing (well below $5B)
ANGI,ANGI,Angie's List Inc,2011-11-16,2011-11-17,2011,13.0,1.0,,,58516700.0,,0.7607171,,0.7607171,single:yf,low,ticker+date,drop,~$0.8B at listing (well below $5B)
KARO,KARO,Karooooo Ltd,2021-04-01,2021-04-01,2021,28.0,1.0,,30951106.0,22832900.0,0.866630968,0.6393212,,0.7529760839999999,auto:edgar+yf,high,ticker+date,drop,~$0.8B at listing (well below $5B)
EFC,EFC,Ellington Financial LLC,2010-10-07,2010-10-08,2010,22.5,1.0,,16498342.0,33417000.0,0.371212695,0.7518825,,0.7518825,single:yf,low,ticker+date,drop,~$0.8B at listing (well below $5B)
DIBS,DIBS,1stdibs.com Inc,2021-06-10,2021-06-10,2021,20.0,1.0,,37816420.0,36596000.0,0.7563284,0.73192,,0.7441242,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
HDP,HDP,Hortonworks Inc,2014-12-12,2014-12-12,2014,16.0,1.0,,,46229500.0,,0.739672,,0.739672,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
OLMA,OLMA,Olema Pharmaceuticals Inc,2020-11-19,2020-11-19,2020,19.0,1.0,,40169738.0,37519700.0,0.763225022,0.7128743,,0.738049661,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
VNCE,VNCE,Vince Holding (Apparel),2013-11-22,2013-11-22,2013,20.0,1.0,,36723727.0,36779400.0,0.73447454,0.735588,,0.73503127,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
TDOC,TDOC,Teladoc Inc,2015-07-01,2015-06-30,2015,19.0,1.0,,38389131.0,38454000.0,0.729393489,0.730626,,0.7300097445,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
EPRT,EPRT,Essential Properties Realty,2018-06-21,2018-06-21,2018,14.0,1.0,,43749092.0,60033500.0,0.612487288,0.840469,,0.726478144,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
AAAP,AAAP,Advanced Accelerator,2015-11-11,2015-11-11,2015,16.0,2.0,,,45352800.0,,0.7256448,,0.7256448,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
PRI,PRI,Primerica Inc,2010-03-31,2010-04-01,2010,15.0,1.0,,,48361800.0,,0.725427,,0.725427,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
RARE,RARE,Ultragenyx Pharmaceutical,2014-01-31,2014-01-31,2014,21.0,1.0,,30035894.0,38835000.0,0.630753774,0.815535,,0.723144387,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
TSHA,TSHA,Taysha Gene Therapies Inc,2020-09-24,2020-09-24,2020,20.0,1.0,,37761435.0,34521400.0,0.7552287,0.690428,,0.72282835,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
GUTS,GUTS,"Fractyl Health, Inc.",2024-02-02,2024-02-02,2024,15.0,1.0,,47896908.0,47607200.0,0.71845362,0.714108,,0.71628081,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
PRAX,PRAX,Praxis Precision Medicines Inc,2020-10-16,2020-10-16,2020,19.0,1.0,,38261893.0,36749700.0,0.726975967,0.6982443,,0.7126101335,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
ZBIO,ZBIO,"Zenas BioPharma, Inc.",2024-09-13,nan,2024,17.0,1.0,,41791037.0,,0.710447629,,,0.710447629,single:edgar,low,ticker+date,drop,~$0.7B at listing (well below $5B)
SEDG,SEDG,SolarEdge Technologies Inc,2015-03-26,2015-03-26,2015,18.0,1.0,,39137979.0,39304000.0,0.704483622,0.707472,,0.705977811,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
NRIX,NRIX,Nurix Therapeutics Inc,2020-07-24,2020-07-24,2020,19.0,1.0,,38855439.0,34838000.0,0.738253341,0.661922,,0.7000876705,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
APLS,APLS,Apellis Pharmaceuticals Inc,2017-11-09,2017-11-09,2017,14.0,1.0,,,49256900.0,,0.6895966,,0.6895966,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
BOJA,BOJA,Bojangles' Inc,2015-05-08,2015-05-08,2015,19.0,1.0,,,35951000.0,,0.683069,,0.683069,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
ALXO,ALXO,ALX Oncology Holdings Inc,2020-07-17,2020-07-17,2020,19.0,1.0,,36967320.0,34711600.0,0.70237908,0.6595204,,0.68094974,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
STTK,STTK,Shattuck Labs Inc,2020-10-09,2020-10-09,2020,17.0,1.0,,41744237.0,38079500.0,0.709652029,0.6473515,,0.6785017645,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
JANX,JANX,Janux Therapeutics Inc,2021-06-11,2021-06-11,2021,17.0,1.0,,41611510.0,38001500.0,0.70739567,0.6460255,,0.676710585,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
QNST,QNST,QuinStreet Inc,2010-02-10,2010-02-11,2010,15.0,1.0,,,45016000.0,,0.67524,,0.67524,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
SEND,SEND,SendGrid Inc,2017-11-15,2017-11-15,2017,16.0,1.0,,,42066600.0,,0.6730656,,0.6730656,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
BDTX,BDTX,Black Diamond Therapeutics Inc,2020-01-30,2020-01-31,2020,19.0,1.0,,35910705.0,34322800.0,0.682303395,0.6521332,,0.6672182975000001,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
LUNG,LUNG,Pulmonx Corp,2020-10-01,2020-10-01,2020,19.0,1.0,,35668953.0,33925400.0,0.677710107,0.6445826,,0.6611463535,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
CALX,CALX,Calix Inc,2010-03-24,2010-03-24,2010,13.0,1.0,,,50810000.0,,0.66053,,0.66053,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
RCUS,RCUS,Arcus Biosciences Inc,2018-03-15,2018-03-15,2018,15.0,1.0,,44454275.0,42550500.0,0.666814125,0.6382575,,0.6525358125,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
PLAY,PLAY,Dave & Buster's Ent Inc,2014-10-10,2014-10-10,2014,16.0,1.0,,39969233.0,41511900.0,0.639507728,0.6641904,,0.651849064,auto:edgar+yf,high,ticker+date,drop,~$0.7B at listing (well below $5B)
FVRR,FVRR,Fiverr International Ltd,2019-06-13,2019-06-13,2019,21.0,1.0,,,30995200.0,,0.6508992,,0.6508992,single:yf,low,ticker+date,drop,~$0.7B at listing (well below $5B)
NTLA,NTLA,Intellia Therapeutics Inc,2016-05-06,2016-05-06,2016,18.0,1.0,,35996265.0,35996300.0,0.64793277,0.6479334,,0.647933085,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
RPD,RPD,Rapid7 Inc,2015-07-17,2015-07-17,2015,16.0,1.0,,39340839.0,41593800.0,0.629453424,0.6655008,,0.647477112,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
VOR,VOR,Vor Biopharma Inc,2021-02-05,2021-02-05,2021,18.0,1.0,,37131633.0,34641400.0,0.668369394,0.6235452,,0.645957297,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
BIOA,BIOA,"BioAge Labs, Inc.",2024-09-26,nan,2024,18.0,1.0,,35848738.0,,0.645277284,,,0.645277284,single:edgar,low,ticker+date,drop,~$0.6B at listing (well below $5B)
PHR,PHR,Phreesia Inc,2019-07-18,2019-07-18,2019,18.0,1.0,,35761374.0,35185500.0,0.643704732,0.633339,,0.638521866,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
ALRM,ALRM,Alarm.com Holdings Inc,2015-06-26,2015-06-26,2015,14.0,1.0,,45567123.0,45574000.0,0.637939722,0.638036,,0.637987861,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
WIX,WIX,Wix.com Ltd,2013-11-06,2013-11-06,2013,16.5,1.0,,37493217.0,39694300.0,0.6186380805,0.65495595,,0.63679701525,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
ACIU,ACIU,AC Immune SA,2016-09-23,2016-09-23,2016,11.0,1.0,,,57362700.0,,0.6309897,,0.6309897,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
VRA,VRA,Vera Bradley Inc,2010-10-20,2010-10-21,2010,16.0,1.0,,40506670.0,37979300.0,0.64810672,0.6076688,,0.62788776,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
IH,IH,iHuman Inc.,2020-10-09,2020-10-09,2020,12.0,2.0,261372382.0,,52274500.0,,0.627294,,0.627294,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
TYRA,TYRA,Tyra Biosciences Inc,2021-09-15,2021-09-15,2021,16.0,1.0,,41265756.0,36815100.0,0.660252096,0.5890416,,0.624646848,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
MLYS,MLYS,Mineralys Therapeutics Inc,2023-02-10,2023-02-10,2023,16.0,1.0,,40856653.0,37056700.0,0.653706448,0.5929072,,0.6233068239999999,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
ARQT,ARQT,Arcutis Biotherapeutics Inc,2020-01-31,2020-01-31,2020,17.0,1.0,,38154550.0,35064400.0,0.64862735,0.5960948,,0.622361075,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
RAPP,RAPP,"Rapport Therapeutics, Inc.",2024-06-07,2024-06-07,2024,17.0,1.0,,36576457.0,,0.621799769,,,0.621799769,single:edgar,low,ticker+date,drop,~$0.6B at listing (well below $5B)
FMI,FMI,Foundation Medicine,2013-09-25,2013-09-25,2013,18.0,1.0,,,34451200.0,,0.6201216,,0.6201216,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
ABOS,ABOS,Acumen Pharmaceuticals Inc,2021-07-01,2021-07-01,2021,16.0,1.0,,40468087.0,36985100.0,0.647489392,0.5917616,,0.619625496,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
AGIO,AGIO,Agios Pharmaceuticals Inc,2013-07-23,2013-07-24,2013,18.0,1.0,,31074167.0,37641000.0,0.559335006,0.677538,,0.618436503,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
TUSK,TUSK,Mammoth Energy Services Inc,2016-10-14,2016-10-14,2016,15.0,1.0,,37500000.0,44500000.0,0.5625,0.6675,,0.615,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
AIRS,AIRS,Airsculpt Technologies Inc,2021-10-29,2021-10-29,2021,11.0,1.0,,55640154.0,55359200.0,0.612041694,0.6089512,,0.610496447,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
PHVS,PHVS,Pharvaris BV,2021-02-05,2021-02-05,2021,20.0,1.0,,,30519300.0,,0.610386,,0.610386,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
XBIT,XBIT,XBiotech Inc,2015-04-15,2015-04-15,2015,19.0,1.0,,31984963.0,32184500.0,0.607714297,0.6115055,,0.6096098985,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
CBLL,CBLL,"Ceribell, Inc.",2024-10-11,nan,2024,17.0,1.0,,35824244.0,,0.609012148,,,0.609012148,single:edgar,low,ticker+date,drop,~$0.6B at listing (well below $5B)
ZNTL,ZNTL,Zentalis Pharmaceuticals LLC,2020-04-03,2020-04-03,2020,18.0,1.0,,35878518.0,31066600.0,0.645813324,0.5591988,,0.602506062,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
JRVR,JRVR,James River Group Holdings Ltd,2014-12-12,2014-12-12,2014,21.0,1.0,,28540350.0,28769500.0,0.59934735,0.6041595,,0.601753425,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
YRD,YRD,Yirendai Ltd,2015-12-18,2015-12-18,2015,10.0,2.0,,117000000.0,59738900.0,,0.597389,,0.597389,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
TRDA,TRDA,Entrada Therapeutics Inc,2021-10-29,2021-10-29,2021,20.0,1.0,,31212856.0,28312400.0,0.62425712,0.566248,,0.59525256,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
SSTK,SSTK,Shutterstock Inc,2012-10-10,2012-10-11,2012,17.0,1.0,,33513281.0,36083000.0,0.569725777,0.613411,,0.5915683885,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
ANNX,ANNX,Annexon Inc,2020-07-24,2020-07-24,2020,17.0,1.0,,38148090.0,31258700.0,0.64851753,0.5313979,,0.5899577149999999,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
TNYA,TNYA,Tenaya Therapeutics Inc,2021-07-30,2021-07-30,2021,15.0,1.0,,41279800.0,37324700.0,0.619197,0.5598705,,0.58953375,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
MMYT,MMYT,MakeMyTrip Ltd,2010-08-11,2010-08-12,2010,14.0,1.0,,,41987000.0,,0.587818,,0.587818,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
MRT,MRT,MedEquities Realty Trust Inc,2016-09-29,2021-08-30,2016,12.0,1.0,,,48593800.0,,0.5831256,,0.5831256,single:yf,low,ticker+date,drop,ticker reused by another company (yfinance first trade 2021-08-30 != IPO 2016-09-29)
LOB,LOB,Live Oak Bancshares Inc,2015-07-23,2015-07-23,2015,17.0,1.0,,,34170900.0,,0.5809053,,0.5809053,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
EDIT,EDIT,Editas Medicine Inc,2016-02-03,2016-02-03,2016,16.0,1.0,,36608136.0,35800000.0,0.585730176,0.5728,,0.579265088,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
RGNX,RGNX,Regenxbio Inc,2015-09-17,2015-09-17,2015,22.0,1.0,,26313471.0,26313500.0,0.578896362,0.578897,,0.578896681,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
GKOS,GKOS,Glaukos Corp,2015-06-25,2015-06-25,2015,18.0,1.0,,32016637.0,32101000.0,0.576299466,0.577818,,0.5770587330000001,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
AVBP,AVBP,"ArriVent Biopharma, Inc.",2024-01-26,2024-01-26,2024,18.0,1.0,,33493750.0,30567800.0,0.6028875,0.5502204,,0.5765539500000001,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
GRO,GRO,Brazil Potash Corp.,2024-11-27,nan,2024,15.0,1.0,,38403737.0,,0.576056055,,,0.576056055,single:edgar,low,ticker+date,drop,~$0.6B at listing (well below $5B)
NINE,NINE,Nine Energy Service Inc,2018-01-19,2026-03-31,2018,23.0,1.0,,25033551.0,,0.575771673,,,0.575771673,single:edgar,low,ticker+date,drop,ticker reused by another company (yfinance first trade 2026-03-31 != IPO 2018-01-19)
FHTX,FHTX,Foghorn Therapeutics Inc,2020-10-23,2020-10-23,2020,16.0,1.0,,35813580.0,35694800.0,0.57301728,0.5711168,,0.57206704,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
JILL,JILL,J.Jill Inc,2017-03-09,2017-03-09,2017,13.0,1.0,,43747944.0,43744000.0,0.568723272,0.568672,,0.568697636,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
MITT,MITT,AG Mortgage Investment Trust,2011-06-29,2011-06-30,2011,20.0,1.0,,10051250.0,28413000.0,0.201025,0.56826,,0.56826,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
STOK,STOK,Stoke Therapeutics Inc,2019-06-19,2019-06-19,2019,18.0,1.0,,32718134.0,30269800.0,0.588926412,0.5448564,,0.566891406,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
IMPV,IMPV,Imperva Inc,2011-11-08,2011-11-09,2011,18.0,1.0,,,31428000.0,,0.565704,,0.565704,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
SKWD,SKWD,Skyward Specialty Ins Grp Inc,2023-01-12,2023-01-13,2023,15.0,1.0,,37658111.0,37600100.0,0.564871665,0.5640015,,0.5644365825,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
LOCO,LOCO,El Pollo Loco Holdings Inc,2014-07-24,2014-07-25,2014,15.0,1.0,,36929836.0,38284000.0,0.55394754,0.57426,,0.56410377,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
MGX,MGX,"Metagenomi, Inc.",2024-02-09,2024-02-09,2024,15.0,1.0,,37464201.0,37527700.0,0.561963015,0.5629155,,0.5624392575,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
FOGO,FOGO,Fogo De Chao Inc,2015-06-19,2015-06-19,2015,20.0,1.0,,,28040500.0,,0.56081,,0.56081,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
NKTX,NKTX,Nkarta Inc,2020-07-10,2020-07-10,2020,18.0,1.0,,32674391.0,29427500.0,0.588139038,0.529695,,0.558917019,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
CRSP,CRSP,CRISPR Therapeutics AG,2016-10-19,2016-10-19,2016,14.0,1.0,,39808801.0,39808800.0,0.557323214,0.5573232,,0.557323207,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
CCXI,CCXI,ChemoCentryx Inc,2012-02-08,2026-02-09,2012,10.0,1.0,,,55700000.0,,0.557,,0.557,single:yf,low,ticker+date,drop,ticker reused by another company (yfinance first trade 2026-02-09 != IPO 2012-02-08)
SLDB,SLDB,Solid Biosciences LLC,2018-01-26,2018-01-26,2018,16.0,1.0,,35461959.0,34151000.0,0.567391344,0.546416,,0.556903672,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
BY,BY,Byline Bancorp Inc,2017-06-30,2017-06-30,2017,19.0,1.0,,29305400.0,29246900.0,0.5568026,0.5556911,,0.55624685,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
FDMT,FDMT,4D Molecular Therapeutics Inc,2020-12-11,2020-12-11,2020,23.0,1.0,,26692879.0,21595600.0,0.613936217,0.4966988,,0.5553175085,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
EPAM,EPAM,EPAM Systems Inc,2012-02-07,2012-02-08,2012,12.0,1.0,,42297625.0,49971400.0,0.5075715,0.5996568,,0.55361415,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
AVXS,AVXS,AveXis Inc,2016-02-11,2016-02-11,2016,20.0,1.0,,,27676300.0,,0.553526,,0.553526,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
VRNS,VRNS,Varonis Systems,2014-02-28,2014-02-28,2014,22.0,1.0,,24454608.0,25758000.0,0.538001376,0.566676,,0.552338688,auto:edgar+yf,high,ticker+date,drop,~$0.6B at listing (well below $5B)
GNBC,GNBC,Green Bancorp Inc,2014-08-08,2014-08-08,2014,15.0,1.0,,,36728800.0,,0.550932,,0.550932,single:yf,low,ticker+date,drop,~$0.6B at listing (well below $5B)
FOXF,FOXF,Fox Factory Holding Corp,2013-08-07,2013-08-08,2013,15.0,1.0,,36317087.0,36976000.0,0.544756305,0.55464,,0.5496981525,auto:edgar+yf,high,ticker+date,drop,~$0.5B at listing (well below $5B)
LASR,LASR,nLIGHT Inc,2018-04-26,2018-04-26,2018,16.0,1.0,,34665298.0,33621100.0,0.554644768,0.5379376,,0.546291184,auto:edgar+yf,high,ticker+date,drop,~$0.5B at listing (well below $5B)
WING,WING,Wingstop Inc,2015-06-12,2015-06-12,2015,19.0,1.0,,28581182.0,28635100.0,0.543042458,0.5440669,,0.543554679,auto:edgar+yf,high,ticker+date,drop,~$0.5B at listing (well below $5B)
